Institution,Date of initial application by author,Submitted by,University department,PubMed Central (PMC) ID,PubMed ID,DOI,Affiliated author,Publisher,Journal,ISSN,Type of publication,Article title,Date of publication,Fund that APC is paid from (1),Fund that APC is paid from (2),Fund that APC is paid from (3),Funder of research (1),Funder of research (2),Funder of research (3),Grant ID (1),Grant ID (2),Grant ID (3),Date of APC payment,APC paid (actual currency) including VAT if charged,APC paid (actual currency) excluding VAT,VAT (actual currency),Currency of APC,APC paid () including VAT if charged,APC paid () excluding VAT,VAT (),Additional publication costs (),"Discounts, memberships & pre-payment agreements",Amount of APC charged to COAF grant (include VAT if charged) in ,Amount of APC charged to RCUK OA fund (include VAT if charged) in ,Licence,Correct license applied,Problem-free open access publication,Notes
University of Sheffield,04/08/2014,"Leggett, Graham",Chemistry,,,10.1021/nn402063b,Graham Leggett,American Chemical Society,ACS Nano,1936-0851,Journal Article/Review (Hybrid journal),Photocatalytic Nanolithography of Self-Assembled Monolayers and Proteins,23/08/2013,RCUK,,,EPSRC,,,EP/H050132/1,,,05/02/2015,1500,,,USD,1206.83,,,,,,,CC BY,Yes,Yes,
University of Sheffield,05/08/2014,"Krynkin, Anton",Mech Eng,,,10.1063/1.4901932,Anton Krynkin,American Institute of Physics,Review of Scientific Instruments,0034-6748,Journal Article/Review (Hybrid journal),A non-invasive acoustical method to measure the mean roughness height of the free surface of a turbulent shallow water flow,24/11/2014,RCUK,,,EPSRC,,,EP/G015341/1,,,18/02/2015,1388.97,,,GBP,1388.97,,,239.42,,,,CC BY,Yes,Yes,Additional costs are colour charges
University of Sheffield,11/08/2014,"Rowe, Richard",Psychology,,,10.1016/j.aap.2014.10.012,Richard Rowe,Elsevier,Accident Analysis & Prevention,,Journal Article/Review (Hybrid journal),Measuring errors and violations on the road,29/10/2014,RCUK,,,ESRC,,,ES/K004/565/1,,,19/02/2015,2629.66,,,EUR,1998.48,,,,,,,CC BY,Yes,Yes,OAK 2014
University of Sheffield,11/08/2014,"Burke, Terry",APS,,,10.1186/s13750-015-0031-x,Terry Burke,BioMed Central,Environmental Evidence,,Journal Article/Review (Full OA journal),The fitness consequences of inbreeding in natural populations and their implications for species conservation  a systematic map,26/02/2015,RCUK,,,NERC,,,NE/H001824/1,,,25/02/2015,1397.4,,,GBP,1397.4,,,,Prepayment discount 15%,,,CC BY,Yes,Yes,
University of Sheffield,22/08/2014,"Li, Xinshan",Mech Eng,,,10.1016/j.jbiomech.2015.03.027,Xinshan Li,Elsevier,Journal of Biomechanics,0021-9290,Journal Article/Review (Hybrid journal),Developing CT based computational models of pediatric femurs,10/04/2015,RCUK,,,EPSRC,,,EP/K03877X/1,,,29/05/2015,3189.24,,,EUR,2657.7,,,,,,,CC BY,Yes,Yes,
University of Sheffield,05/09/2014,"Fish, Kat",CSE,,,10.1371/journal.pone.0115824,Katherine Fish,Public Library of Science,PLOS ONE,1932-6203,Journal Article/Review (Full OA journal),"Characterisation of the physical composition and microbial community structure (bacterial, archaeal and fungal) of biofilms within Drinking Water Distribution Systems",23/02/2015,RCUK,,,EPSRC,,,EP/G029946/1,,,10/03/2015,1350,,,USD,1073.14,,,,,,,CC BY,Yes,Yes,
University of Sheffield,15/09/2014,"Carter, Eleanor",Geography,,,10.1017/S0047279414000841,Eleanor Carter,Cambridge University Press,Journal of Social Policy,0047-2794,Journal Article/Review (Hybrid journal),Creaming and Parking in Quasi-Marketised Welfare-to-Work Schemes: Designed Out Of or Designed In to the UK Work Programme?,09/12/2014,RCUK,,,ESRC,,,ES/J500215/1,,,21/01/2015,2034,,,GBP,2034,,,,,,,CC BY,Yes,Yes,
University of Sheffield,18/09/2014,"Holland, Chris",MSE,,,10.1016/j.actbio.2014.09.021,Chris Holland,Elsevier,Acta Biomaterialia,,Journal Article/Review (Hybrid journal),Linking naturally and unnaturally spun silks through the forced reeling of Bombyx mori,19/09/2014,RCUK,,,EPSRC,,,EP/K005693/1,,,19/02/2015,2629.66,,,EUR,1998.48,,,,,,,CC BY,Yes,Yes,OAK 2014
University of Sheffield,23/09/2014,"Holcombe, Mike",Comp Sci,,,10.14738/assrj.22.474,Mike Holcombe,Scholar Publishing,ASSRJ,,Journal Article/Review (Hybrid journal),It's the people stupid!- Formal models of Social interaction in agile software development teams,25/02/2015,RCUK,,,EPSRC,,,EP/P502748/1,,,04/02/2015,99,,,GBP,99,,,,,,,CC BY,Yes,Yes,
University of Sheffield,03/10/2014,"Greenacre, Kat",SoMaS,,,10.1093/mnras/stu1361,Ruisheng Zheng,Oxford University Press,Monthly Notices of the Royal Astronomical Society,,Journal Article/Review (Hybrid journal),Coronal wave associated with a non-radial filament eruption observed by the Solar Dynamics Observatory,27/08/2014,RCUK,,,STFC,,,ST/J001430/1,,,05/02/2015,1740,,,GBP,1740,,,240,,,,CC BY,Yes,Yes,
University of Sheffield,08/10/2014,"Hounslow, Mike",CBE,,,10.1016/j.ces.2014.10.006,Mike Hounslow,Elsevier,Chemical Engineering Science,0009-2509,Journal Article/Review (Hybrid journal),Aggregation of Growing Crystals in Suspension: II. Poiseuille,13/10/2014,RCUK,,,EPSRC,,,EP/F008147/1,,,19/02/2015,2892.62,,,EUR,2198.33,,,,,,,CC BY,Yes,Yes,OAK 2014
University of Sheffield,11/10/2014,"Makhonin, Maxim",Physics,,,10.1021/nl5032937,Maxim Makhonin,American Chemical Society,Nano Letters,1530-6984,Journal Article/Review (Hybrid journal),Waveguide coupled resonance fluorescence from on-chip quantum emitter,10/11/2014,RCUK,,,EPSRC,,,EP/J007544/1,,,11/03/2015,2500,,,USD,1671.16,,,,,,,CC BY,Yes,No,"Copyright initially wrong, and not made open access immediately. OAK 2014"
University of Sheffield,13/10/2014,"Sadler, Stephen",Physics and Astronomy,,,10.1088/1748-0221/9/11/P11004,Stephen Sadler,IOP Publishing,Journal of instrumentation,1748-0221,Journal Article/Review (Hybrid journal),"Radon in the DRIFT-II directional dark matter TPC: emanation, detection and mitigation",04/11/2014,RCUK,,,STFC,,,ST/F007337/1,,,18/02/2015,1400,,,GBP,1680,,,,,,,CC BY,Yes,Yes,
University of Sheffield,21/10/2014,"Whitworth, Alex",BMS,,,10.1371/journal.pgen.1004815,Alex Whitworth,Public Library of Science,PLOS Genetics,1553-7390,Journal Article/Review (Full OA journal),The complex I subunit NDUFA10 selectively rescues Drosophila pink1 mutants through a mechanisms independent of mitophagy,20/11/2014,RCUK,,,MRC,,,WT089698,,,11/03/2015,2250,,,USD,1804.85,,,,,,,CC BY,Yes,Yes,OAK 2014
University of Sheffield,21/10/2014,"Wallace, Michael",Archaeology,,,10.1371/journal.pone.0127085,Michael Wallace,Public Library of Science,PLOS ONE,1932-6203,Journal Article/Review (Full OA journal),Stable carbon isotope evidence for Neolithic and Bronze Age crop water management in the eastern Mediterranean and southwest Asia,10/06/2015,RCUK,,,NERC,,,NE/E003761/1,,,22/04/2015,1350,,,USD,934.97,,,,,,,CC BY,Yes,Yes,
University of Sheffield,24/10/2014,"Scholes, Julie",APS,,,10.1016/j.fcr.2014.10.010,Julie Scholes,Elsevier,Field Crops Research,,Journal Article/Review (Hybrid journal),Do Nerica cultivars exprss resistance to Striga hermonthica (Del.) Benth. And Striga asiatica (L.) Kuntze under field condition?,12/11/2014,RCUK,,,BBSRC,,,BB/J011703/1,,,19/02/2015,2191.98,,,EUR,1665.4,,,,,,,CC BY,Yes,Yes,OAK 2014
University of Sheffield,30/10/2014,"Foster, Simon",MBB,,,10.1007/s00203-014-1048-1,Simon Foster,Springer,Archives of Microbiology,,Journal Article/Review (Hybrid journal),The effect of skin fatty acids on Staphylococcus aureus,18/10/2014,RCUK,,,MRC,,,78981,,,05/02/2015,2200,,,EUR,1719.29,,,,,,,CC BY,Yes,Yes,OAK 2014
University of Sheffield,30/10/2014,"Bennson, Clair",APS,,,10.1098/rspb.2014.1897,Clair Bennison,Royal Society,Proceedings of the Royal Society B,0962-8452,Journal Article/Review (Hybrid journal),Long sperm fertilize more eggs in a bird,10/12/2014,RCUK,,,NERC,,,NE/I 5285931,,,05/02/2015,1296,,,GBP,1296,,,,,,,CC BY,Yes,Yes,
University of Sheffield,31/10/2014,"Whitfield, Tanya",BMS,,,10.1371/journal.pgen.1004858,Tanya Whitfield,Public Library of Science,PLOS Genetics,1553-7390,Journal Article/Review (Full OA journal),RA and FGF signalling are required in the zebrafish otic vesicle to pattern and maintain ventral otic identities,04/12/2014,RCUK,,,BBSRC,,,BB/J003050,,,11/03/2015,2250,,,USD,1804.85,,,,,,,CC BY,Yes,Yes,OAK 2014
University of Sheffield,31/10/2014,"Hole, Arne Rise",Economics,,,10.1016/j.regsciurbeco.2014.09.004,Aren Rise Hole,Elsevier,Regional Science and Urban Economics,,Journal Article/Review (Hybrid journal),The relationship between well-being and commuting revisited: Does the choice of methodology matter?,02/10/2014,RCUK,,,ESRC,,,RES-584-28-0002 ,,,10/02/2015,1577.8,,,EUR,1211.6,,,,,,,CC BY,Yes,Yes,OAK 2014
University of Sheffield,31/10/2014,"Mullin, Nic",Physics and Astronomy,,,10.1063/1.4901221,Nic Mullin,American Institute of Physics,Review of Scientific Instruments,0034-6748,Journal Article/Review (Hybrid journal),"A non-contact, thermal noise based method for the calibration of lateral deflection sensitivity in atomic force microscopy",19/11/2014,RCUK,,,EPSRC,,,EP/I012060/1,,,18/02/2015,1383.43,,,GBP,1383.43,,,,,,,CC BY,Yes,Yes,
University of Sheffield,03/11/2014,"Wise, Daniel",Mech Eng,,,10.1063/1.4903973,Daniel Wise,American Institute of Physics,Physics of Fluids,1070-6631,Journal Article/Review (Hybrid journal),Spinning out of control: wall turbulence over rotating discs,22/12/2014,RCUK,,,EPSRC,,,EP/I033173/1,,,15/01/2015,1683.71,,,GBP,1683.71,,,,,,,Unknown,No,No, 2014 AIP Publishing LLC.
University of Sheffield,05/11/2014,"Brindley, Amanda",MBB,,,10.1016/j.bbabio.2014.10.004,C. Neil Hunter,Elsevier,Biochimica et Biophysica Acta: Bioenergetics,,Journal Article/Review (Hybrid journal),Assembly of functional photosystem complexes in Rhodobacter sphaeroides incorporating carotenoids from spirilloxanthin pathway,27/10/2014,RCUK,,,BBSRC,,,BB/G021546/1,,,19/02/2015,2629.66,,,EUR,1998.48,,,,,,,CC BY,Yes,Yes,OAK 2014
University of Sheffield,07/11/2014,"Greenacre, Kat",SoMaS,,,10.1007/s11207-014-0607-6,Michael Ruderman,Springer,Solar Physics,,Journal Article/Review (Hybrid journal),Possible Cross-Section for a Coronal Loop of Given Shape?,14/10/2014,RCUK,,,STFC,,,ST/J001430/1,,,11/03/2015,2200,,,EUR,1994.1,,,,,,,CC BY,Yes,Yes,OAK 2014
University of Sheffield,10/11/2014,"Whitfield, Tanya",BMS,,,10.1242/dev.116632,Tanya Whitfield,Company of Biologists,Development,,Journal Article/Review (Hybrid journal),Otolith tethering in the zebrafish otic vesicle requires Otogelin and alpha-Tectorin,15/03/2015,RCUK,,,BBSRC,BBSRC,,BB/J003050/1,BB/F017588/1,,01/04/2015,3000,,,GBP,3000,,,,,,,CC BY,Yes,Yes,
University of Sheffield,10/11/2014,"Greenhough, Sally",Physics and Astronomy,,,10.1021/nl503312x,Alexander Tartakovskii,American Chemical Society,Nano Letters,1530-6984,Journal Article/Review (Hybrid journal),Two-dimensional metal-chalcogenide films in tunable optical microcavities,06/11/2014,RCUK,,,EPSRC,,,EP/J007544/1,,,11/03/2015,2500,,,USD,1671.16,,,,,,,CC BY,Yes,No,"Copyright initially wrong, and not made open access immediately. OAK 2014"
University of Sheffield,14/11/2014,"Nong, Ke",Neuroscience,,,10.1038/mt.2014.209,Ke Ning,Nature Publishing Group,Molecular Therapy,,Journal Article/Review (Hybrid journal),PTEN depletion decreases disease severity and modestly prolongs survival in a mouse model of spinal muscular atrophy,06/01/2015,RCUK,,,EPSRC,,,EP/I001697/1,,,29/01/2015,2280,,,GBP,2280,,,,,,,CC BY,Yes,Yes,OAK 2014
University of Sheffield,17/11/2014,Green. Pete,Mech Eng,,,10.1016/j.ymssp.2014.10.003,Pete Green,Elsevier,Mechanical Systems and Signal Processing,,Journal Article/Review (Hybrid journal),Bayesian system identification of dynamics systems using highly informative training data,04/09/2014,RCUK,,,EPSRC,,,EP/K003836/1,,,19/02/2015,2191.38,,,EUR,1665.4,,,,,,,CC BY,Yes,Yes,OAK 2014
University of Sheffield,17/11/2014,"Wang, Tao",EEE,,,10.1038/srep07250,Tao Wang,Nature Publishing Group,Scientific Reports,2045-2322,Journal Article/Review (Full OA journal),Room temperature continous-wave green lasing from an InGaN microdisk on silicon,28/11/2014,RCUK,,,EPSRC,,,EP/H004602/1,,,11/03/2015,1068,,,GBP,1068,,,,,,,CC BY-SA,No,No,Incorrect licence applied. OAK 2014
University of Sheffield,18/11/2014,"Posada, Jorge",CBE,,,10.1016/j.seta.2014.10.005,Jorge Posada,Elsevier,Sustainable Energy Technologies and Assessments,,Journal Article/Review (Hybrid journal),Surface response investigation of parameters in the development of FeS based iron electrodes,18/11/2014,RCUK,,,EPSRC,,,EP/K000292/1,,,19/02/2015,2191.38,,,EUR,1665.4,,,,,,,CC BY,Yes,Yes,OAK 2014
University of Sheffield,21/11/2014,"Pagnier, Celine",APS,,,10.1093/jhered/esu079,Terry Burke,Oxford University Press,Journal of Heredity,,Journal Article/Review (Hybrid journal),Major breeding plumage color differences of male ruffs (Philomachus pugnax) are not associated with coding sequence variation in the melanocortin-1 receptor (MC1R) gene,22/12/2014,RCUK,,,BBSRC,,,BB/J018937/1,,,11/03/2015,1750,,,GBP,2100,,,,,,,CC BY,Yes,Yes,OAK 2014
University of Sheffield,24/11/2014,"Boorman, Luke",Psychology,,,10.1523/JNEUROSCI.2339-14.2015,Luke Boorman,Society of Neuroscience,The Journal of Neuroscience,0270-6474,Journal Article/Review (Hybrid journal),Long-Latency Reductions in Gamma Power Predict Hemodynamic Changes That Underlie the Negative BOLD Signal,18/03/2015,RCUK,,,MRC,,,G1002194,,,11/03/2015,4325,,,USD,3469.33,,,,,,,CC BY,Yes,Yes,
University of Sheffield,25/11/2014,"Dickman, Mark",CBE,,,10.1261/rna.045138.114,Mark Dickman,Cold Spring Harbor Laboratory Press,RNA,,Journal Article/Review (Hybrid journal),"Arginine methylation and citrullination of splicing factor, proline and glutamine- rich (SFPQ/PSF) regulates its association with mRNA",20/01/2015,RCUK,,,BBSRC,,,BB/D011795/1,,,21/04/2015,2676.4,,,USD,2153.32,,,,,,,CC BY-NC,No,No,
University of Sheffield,26/11/2014,"Gurney, Kevin",Psychology,,,10.3389/fncom.2014.00151,Kevin Gurney,Frontiers,Frontiers in Computational Neuroscience,,Journal Article/Review (Full OA journal),Finding minimal action sequences with a simple evaluation of actions,28/11/2014,RCUK,,,EPSRC,,,EP/J019534/1,,,11/03/2015,1600,,,EUR,1464.49,,,,,,,CC BY,Yes,Yes,
University of Sheffield,27/11/2014,"He, Shuisheng",Mech Eng,,,10.1017/jfm.2014.698,Shuisheng He,Cambridge University Press,Journal of Fluid Mechanics,0022-1120,Journal Article/Review (Hybrid journal),Transition of transient channel flow after a change in Reynolds number,05/01/2015,RCUK,,,EPSRC,,,EP/G068925/1,,,21/01/2015,2034,,,GBP,2034,,,,,,,CC BY,Yes,Yes,
University of Sheffield,02/12/2014,"Richards, Robert",EEE,,,10.1016/j.jcrysgro.2015.02.053,Robert Richards,Elsevier,Journal of Crystal Growth,0022-0248,Journal Article/Review (Hybrid journal),MBE grown GaAsBi/GaAs multiple quantum well structures: Structural and optical characterization,23/02/2015,RCUK,,,EPSRC,,,EP/M506618/1,,,25/06/2015,2338.78,,,EUR,1698.19,,,,,,,CC BY,Yes,Yes,
University of Sheffield,03/12/2014,"Sherlock, Alex",Sociological Studies,,,10.1386/csfb.5.1.25_1,Alex Sherlock,Intellect,Critical Studies in Fashion and Beauty,,Journal Article/Review (Hybrid journal),It's where the shoe gets you to I suppose': Materializing Identity with Footwear,01/10/2014,RCUK,,,ESRC,,,RES-062-23-2252,,,22/01/2015,900,,,GBP,900,,,,,,,Unknown,No,No, 2014 Intellect Ltd Article
University of Sheffield,05/12/2014,"Parnell, Andrew",Physics and Astronomy,,,10.1021/ma5014513,Andrew Parnell,American Chemical Society,Macromolecules,,Journal Article/Review (Hybrid journal),Hydration and Ordering of Lamellar Block Copolymer Films under Controlled Water Vapor,12/12/2014,RCUK,,,EPSRC,,,EP/E046215/1,,,14/01/2015,5000,,,USD,3963.28,,,,,,,CC BY,Yes,Yes,
University of Sheffield,11/12/2014,"Antoniadou, Ifgenia",Mech Eng,,,10.1098/rsta.2014.0075,Ifgenia Antoniadou,Royal Society,Philosophical Transactions of the Royal Society A,0080-4614,Journal Article/Review (Hybrid journal),Aspects of structural health and condition monitoring of offshore wind turbines,12/01/2015,RCUK,,,EPSRC,,,EP/J016942/1,,,14/01/2015,1600,,,GBP,1680,,,,,,,CC BY,Yes,Yes,
University of Sheffield,15/12/2014,"Merino Perez, Julian Luis",Mech Eng,,,10.1016/j.compstruct.2014.12.033,Julin Merino-Prez,Elsevier,Composite Structures,0263-8223,Journal Article/Review (Hybrid journal),"On the temperatures developed in CFRP drilling using uncoated WC-Co tools Part I: Workpiece constituents, cutting speed and heat dissipation",20/12/2014,RCUK,,,EPSRC,,,EP/I01800X/1,,,27/02/2015,2394.06,,,EUR,2167.29,,,,,,,CC BY,Yes,Yes,
University of Sheffield,18/12/2014,"Lawford, Patricia",CVS,,,10.1371/journal.pone.0114153,Patricia Lawford,Public Library of Science,PLOS ONE,1932-6203,Journal Article/Review (Full OA journal),Closing the Loop: Modelling of Heart Failure Progression from Health to End-Stage Using a Meta-Analysis of Left Ventricular Pressure-Volume Loops,05/12/2014,RCUK,,,EPSRC,,,EP/H019991X/1,,,14/01/2015,1350,,,USD,1070.09,,,,,,,CC BY,Yes,Yes,
University of Sheffield,20/12/2014,"Johnston, Simon",Infection and Immunity,,,10.1016/j.fgb.2014.11.006,Simon Johnstone,Elsevier,Fungal Genetics and Biology,1087-1845,Journal Article/Review (Hybrid journal),Immunity to Cryptococcus neoformans and C. gattii during cryptococcosis.,12/12/2014,RCUK,,,MRC,,,MR/J009156/1,,,26/06/2015,1436.44,,,EUR,1251.6,,,,,,,CC BY,Yes,Yes,
University of Sheffield,23/12/2014,"Armes, Steven",Chemistry,,,10.1021/ja511423m,Steve Armes,American Chemical Society,Journal of the American Chemical Society,0002-7863,Journal Article/Review (Hybrid journal),Testing the Vesicular Morphology to Destruction: Birth and Death of Diblock Copolymer Vesicles Preapred Via Polymerization-induced Self-Assembly,19/12/2014,RCUK,,,EPSRC,,,EP/J007846/1,,,03/02/2015,2000,,,USD,1596.17,,,,,,,CC BY,Yes,Yes,
University of Sheffield,24/12/2014,"Hatton, Paul",Dental School,,,10.1002/term.2003,Paul Hatton,Wiley,Journal of Tissue Engineering and Regenerative Medicine,,Journal Article/Review (Hybrid journal),The osteogenic response of mesenchymal stromal cells to strontium -substituted bioactive glass,11/03/2015,RCUK,,,EPSRC,,,EP/P505100/1,,,05/01/2015,1500,,,GBP,1800,,,,Prepayment discount 25%,,,CC BY,Yes,Yes,
University of Sheffield,05/01/2015,"Corfe, Bernard",Oncology,,,10.1136/bmjgast-2014-000022,Bernard Corfe,BMJ Publishing Group,BMJ Open Gastroenterology,,Journal Article/Review (Full OA journal),Reduced keratin expression in colorectal neoplasia and associated fields is reversible by both diet and resection,17/04/2015,RCUK,,,EPSRC,,,EP/E036252/1,,,13/03/2015,2040,,,GBP,2040,,,,,,,CC BY,Yes,Yes,
University of Sheffield,05/01/2015,"Merino Perez, Julian Luis",Mech Eng,,,10.1016/j.compstruct.2014.12.035,Julin Merino-Prez,Elsevier,Composite Structures,0263-8223,Journal Article/Review (Hybrid journal),On the temperatures developed in CFRP drilling using uncoated WC-Co tools Part II: Nanomechanical study of thermally aged CFRP composites,20/12/2014,RCUK,,,EPSRC,,,EP/I01800X/1,,,27/02/2015,2394.06,,,EUR,2167.29,,,,,,,CC BY,Yes,Yes,
University of Sheffield,06/01/2015,"Ward, Mike",Chemistry,,,10.1021/ic502780b,Mike Ward,American Chemical Society,Inorganic Chemistry,,Journal Article/Review (Hybrid journal),"An interconverting family of coordination cages and a meso-helicate; effects of temperature, concentration and solvent on the product distribution of a self-assembly process",20/02/2015,RCUK,,,EPSRC,,,EP/L505055/1,,,10/03/2015,500,,,USD,398.35,,,,,,,CC BY,Yes,Yes,
University of Sheffield,06/01/2015,"McEwing, Katherine",APS,,,10.1007/s11104-014-2377-1,Katherine McEwing,Springer,Plant and Soil,,Journal Article/Review (Hybrid journal),Environmental and vegetation controls on the spatial variability of CH4 emission from wet-sedge and tussock tundra ecosystems in the Arctic,11/01/2015,RCUK,,,NERC,,,NE/K00025X/1,,,13/03/2015,2640,,,EUR,2023.82,,,,,,,CC BY,Yes,Yes,
University of Sheffield,06/01/2015,"Moffatt, Lucy",Comp Sci,,,10.1016/j.tcs.2014.12.009,Phil McMinn,Elsevier,Theoretical Computer Science,,Journal Article/Review (Hybrid journal),Design and Analysis of Different Alternating Variables Searches for Search-Based Software Testing,08/01/2015,RCUK,,,EPSRC,,,EP/I010386/1,,,25/02/2015,1436.44,,,EUR,1312.97,,,,,,,CC BY,Yes,Yes,
